Frame,Flat,Construction,Object,Nature,Sky,Human,Vehicle
frame_0077,0.2702,0.3102,0.0025,0.2365,0.1157,0.0632,0.0016
frame_0078,0.2741,0.2967,0.0054,0.2392,0.1141,0.0650,0.0056
frame_0079,0.2599,0.3184,0.0015,0.2342,0.1123,0.0719,0.0018
frame_0080,0.2657,0.3192,0.0011,0.2333,0.1147,0.0650,0.0010
frame_0081,0.2603,0.3299,0.0027,0.2304,0.1135,0.0572,0.0061
frame_0082,0.2623,0.3241,0.0009,0.2322,0.1125,0.0651,0.0029
frame_0083,0.2673,0.3203,0.0043,0.2269,0.1119,0.0668,0.0026
frame_0084,0.2641,0.3213,0.0032,0.2321,0.1118,0.0592,0.0083
frame_0085,0.2676,0.3140,0.0047,0.2323,0.1112,0.0658,0.0044
frame_0086,0.2537,0.3225,0.0009,0.2319,0.1126,0.0729,0.0055
frame_0087,0.2631,0.3230,0.0103,0.2215,0.1126,0.0644,0.0051
frame_0088,0.2636,0.3153,0.0115,0.2265,0.1121,0.0688,0.0023
frame_0089,0.2586,0.3161,0.0009,0.2387,0.1118,0.0706,0.0033
frame_0090,0.2657,0.3142,0.0011,0.2363,0.1128,0.0689,0.0010
frame_0091,0.2627,0.3134,0.0014,0.2319,0.1141,0.0697,0.0069
frame_0092,0.2716,0.3149,0.0048,0.2235,0.1135,0.0641,0.0076
frame_0093,0.2637,0.3171,0.0006,0.2292,0.1147,0.0656,0.0091
frame_0094,0.2750,0.3064,0.0009,0.2256,0.1160,0.0677,0.0084
frame_0095,0.2759,0.3155,0.0012,0.2224,0.1174,0.0561,0.0115
frame_0096,0.2897,0.2991,0.0004,0.2211,0.1187,0.0613,0.0098
frame_0097,0.2818,0.3099,0.0003,0.2129,0.1196,0.0625,0.0130
frame_0098,0.2728,0.3166,0.0007,0.2185,0.1218,0.0647,0.0049
frame_0099,0.2726,0.3207,0.0009,0.2151,0.1206,0.0633,0.0067
frame_0100,0.2704,0.3244,0.0011,0.2149,0.1199,0.0650,0.0043
frame_0101,0.2578,0.3406,0.0018,0.2061,0.1203,0.0702,0.0032
frame_0102,0.2552,0.3388,0.0012,0.2116,0.1222,0.0678,0.0032
frame_0103,0.2546,0.3365,0.0018,0.2097,0.1235,0.0636,0.0103
frame_0104,0.2451,0.3382,0.0012,0.2104,0.1254,0.0736,0.0061
frame_0105,0.2391,0.3299,0.0035,0.2112,0.1286,0.0822,0.0055
frame_0106,0.2335,0.3466,0.0021,0.1995,0.1328,0.0584,0.0271
frame_0107,0.2345,0.3402,0.0053,0.1911,0.1337,0.0705,0.0247
frame_0108,0.2212,0.3473,0.0037,0.2051,0.1366,0.0759,0.0103
frame_0109,0.2355,0.3392,0.0029,0.2016,0.1388,0.0700,0.0120
frame_0110,0.2367,0.3554,0.0013,0.1913,0.1411,0.0694,0.0048
frame_0111,0.2391,0.3554,0.0019,0.1874,0.1442,0.0679,0.0040
frame_0112,0.2455,0.3562,0.0021,0.1770,0.1466,0.0682,0.0045
frame_0113,0.2525,0.3188,0.0008,0.1825,0.1502,0.0610,0.0343
frame_0114,0.2486,0.3281,0.0054,0.1820,0.1531,0.0792,0.0036
frame_0115,0.2484,0.3090,0.0071,0.1808,0.1555,0.0580,0.0413
frame_0116,0.2467,0.3069,0.0021,0.1855,0.1578,0.0871,0.0139
frame_0117,0.2473,0.3283,0.0022,0.1794,0.1542,0.0854,0.0032
frame_0118,0.2316,0.3305,0.0031,0.1821,0.1579,0.0900,0.0048
frame_0119,0.2396,0.3245,0.0029,0.1803,0.1592,0.0889,0.0046
frame_0120,0.2192,0.3304,0.0020,0.1804,0.1627,0.0865,0.0188
frame_0121,0.2447,0.3162,0.0033,0.1733,0.1621,0.0871,0.0133
frame_0122,0.2459,0.3109,0.0028,0.1758,0.1628,0.0883,0.0135
frame_0123,0.2372,0.3134,0.0038,0.1804,0.1626,0.0790,0.0237
frame_0124,0.2395,0.3034,0.0041,0.1843,0.1620,0.0792,0.0274
frame_0125,0.2400,0.3005,0.0044,0.1840,0.1618,0.0966,0.0127
frame_0126,0.2391,0.2993,0.0031,0.1841,0.1615,0.0982,0.0145
frame_0127,0.2329,0.2949,0.0029,0.1909,0.1635,0.0983,0.0167
frame_0128,0.2313,0.2956,0.0027,0.1932,0.1601,0.0995,0.0177
frame_0129,0.2358,0.2997,0.0035,0.1946,0.1597,0.0976,0.0090
frame_0130,0.2342,0.3014,0.0037,0.2023,0.1561,0.0870,0.0152
frame_0131,0.2314,0.2993,0.0030,0.2052,0.1530,0.0970,0.0110
frame_0132,0.2259,0.2955,0.0026,0.2110,0.1467,0.1092,0.0092
frame_0133,0.2170,0.2949,0.0009,0.2141,0.1423,0.1123,0.0185
