Frame,Flat,Construction,Object,Nature,Sky,Human,Vehicle
frame_0337,0.2783,0.3299,0.0026,0.1013,0.2270,0.0583,0.0027
frame_0338,0.2843,0.3255,0.0031,0.0971,0.2284,0.0593,0.0023
frame_0339,0.2789,0.3313,0.0030,0.0936,0.2338,0.0572,0.0023
frame_0340,0.2833,0.3264,0.0034,0.0906,0.2343,0.0600,0.0019
frame_0341,0.2826,0.3295,0.0035,0.0866,0.2370,0.0594,0.0013
frame_0342,0.2883,0.3250,0.0044,0.0802,0.2404,0.0592,0.0025
frame_0343,0.2822,0.3259,0.0060,0.0761,0.2444,0.0641,0.0013
frame_0344,0.2785,0.3256,0.0077,0.0704,0.2515,0.0561,0.0103
frame_0345,0.2803,0.3233,0.0074,0.0652,0.2544,0.0666,0.0026
frame_0346,0.2809,0.3297,0.0066,0.0610,0.2570,0.0638,0.0009
frame_0347,0.2797,0.3289,0.0057,0.0574,0.2584,0.0675,0.0024
frame_0348,0.2800,0.3283,0.0056,0.0549,0.2588,0.0714,0.0010
frame_0349,0.2783,0.3293,0.0074,0.0513,0.2614,0.0712,0.0010
frame_0350,0.2802,0.3282,0.0063,0.0510,0.2613,0.0717,0.0014
frame_0351,0.2757,0.3310,0.0056,0.0503,0.2634,0.0692,0.0048
frame_0352,0.2718,0.3349,0.0057,0.0483,0.2614,0.0738,0.0040
frame_0353,0.2668,0.3384,0.0062,0.0473,0.2598,0.0803,0.0011
frame_0354,0.2697,0.3451,0.0064,0.0453,0.2593,0.0678,0.0065
frame_0355,0.2588,0.3494,0.0065,0.0438,0.2564,0.0798,0.0053
frame_0356,0.2542,0.3525,0.0092,0.0423,0.2566,0.0801,0.0051
frame_0357,0.2611,0.3526,0.0075,0.0437,0.2545,0.0771,0.0035
frame_0358,0.2491,0.3656,0.0063,0.0442,0.2539,0.0621,0.0189
frame_0359,0.2505,0.3701,0.0055,0.0444,0.2511,0.0687,0.0098
frame_0360,0.2561,0.3597,0.0062,0.0444,0.2450,0.0842,0.0043
frame_0361,0.2506,0.3637,0.0055,0.0441,0.2461,0.0861,0.0039
frame_0362,0.2487,0.3637,0.0046,0.0452,0.2416,0.0899,0.0064
frame_0363,0.2485,0.3597,0.0080,0.0468,0.2413,0.0940,0.0016
frame_0364,0.2491,0.3623,0.0076,0.0472,0.2421,0.0849,0.0069
frame_0365,0.2466,0.3690,0.0057,0.0486,0.2410,0.0819,0.0073
frame_0366,0.2439,0.3660,0.0061,0.0512,0.2414,0.0882,0.0032
frame_0367,0.2498,0.3586,0.0065,0.0539,0.2396,0.0853,0.0063
frame_0368,0.2526,0.3558,0.0065,0.0558,0.2410,0.0811,0.0073
frame_0369,0.2541,0.3598,0.0067,0.0569,0.2385,0.0687,0.0153
frame_0370,0.2488,0.3616,0.0038,0.0592,0.2369,0.0853,0.0045
frame_0371,0.2457,0.3678,0.0041,0.0618,0.2355,0.0777,0.0074
frame_0372,0.2458,0.3674,0.0044,0.0644,0.2309,0.0812,0.0059
frame_0373,0.2459,0.3647,0.0045,0.0694,0.2310,0.0779,0.0066
frame_0374,0.2416,0.3443,0.0057,0.0725,0.2291,0.0800,0.0268
frame_0375,0.2506,0.3549,0.0077,0.0769,0.2240,0.0783,0.0076
frame_0376,0.2491,0.3542,0.0072,0.0828,0.2199,0.0753,0.0115
frame_0377,0.2572,0.3467,0.0058,0.0866,0.2181,0.0837,0.0021
frame_0378,0.2537,0.3496,0.0048,0.0934,0.2173,0.0773,0.0039
frame_0379,0.2614,0.3359,0.0049,0.0986,0.2126,0.0804,0.0063
frame_0380,0.2580,0.3276,0.0074,0.1076,0.2110,0.0800,0.0083
frame_0381,0.2636,0.3137,0.0041,0.1164,0.2123,0.0857,0.0042
frame_0382,0.2587,0.3054,0.0035,0.1225,0.2108,0.0947,0.0045
frame_0383,0.2685,0.2841,0.0048,0.1317,0.2126,0.0779,0.0204
frame_0384,0.2734,0.2779,0.0062,0.1381,0.2111,0.0779,0.0154
frame_0385,0.2786,0.2671,0.0047,0.1492,0.2079,0.0830,0.0095
frame_0386,0.2776,0.2649,0.0056,0.1592,0.2029,0.0835,0.0064
frame_0387,0.2778,0.2625,0.0043,0.1670,0.1982,0.0860,0.0042
frame_0388,0.2831,0.2560,0.0041,0.1777,0.1918,0.0835,0.0036
frame_0389,0.2803,0.2481,0.0067,0.1881,0.1851,0.0898,0.0020
frame_0390,0.2817,0.2418,0.0100,0.1972,0.1778,0.0850,0.0065
frame_0391,0.2891,0.2343,0.0107,0.2081,0.1699,0.0798,0.0081
frame_0392,0.2948,0.2285,0.0121,0.2150,0.1611,0.0726,0.0160
frame_0393,0.2946,0.2265,0.0134,0.2319,0.1476,0.0779,0.0082
frame_0394,0.2939,0.2203,0.0179,0.2469,0.1338,0.0814,0.0058
frame_0395,0.2995,0.2166,0.0163,0.2624,0.1186,0.0788,0.0079
frame_0396,0.2892,0.1961,0.0147,0.2770,0.1048,0.0798,0.0384
frame_0397,0.2884,0.1806,0.0161,0.2876,0.0941,0.0889,0.0443
frame_0398,0.2936,0.1928,0.0116,0.2981,0.0883,0.0823,0.0333
frame_0399,0.2851,0.1986,0.0166,0.3066,0.0845,0.0882,0.0204
frame_0400,0.2880,0.1994,0.0085,0.3122,0.0798,0.0856,0.0266
frame_0401,0.2902,0.2103,0.0071,0.3195,0.0757,0.0824,0.0149
frame_0402,0.2906,0.1915,0.0050,0.3195,0.0759,0.0826,0.0348
frame_0403,0.2938,0.1970,0.0055,0.3253,0.0747,0.0814,0.0222
frame_0404,0.2897,0.1954,0.0055,0.3258,0.0765,0.0985,0.0086
frame_0405,0.2868,0.1961,0.0053,0.3235,0.0773,0.0917,0.0193
frame_0406,0.2850,0.2012,0.0067,0.3239,0.0785,0.1011,0.0036
frame_0407,0.2864,0.1946,0.0056,0.3216,0.0787,0.0988,0.0143
frame_0408,0.2812,0.1964,0.0058,0.3286,0.0779,0.1001,0.0100
frame_0409,0.2804,0.2040,0.0047,0.3244,0.0792,0.1007,0.0066
frame_0410,0.2913,0.2013,0.0040,0.3255,0.0778,0.0915,0.0085
frame_0411,0.2768,0.2007,0.0038,0.3307,0.0765,0.1104,0.0010
frame_0412,0.2842,0.1987,0.0032,0.3296,0.0773,0.1061,0.0010
frame_0413,0.2900,0.1929,0.0030,0.3317,0.0783,0.0965,0.0075
frame_0414,0.2964,0.1942,0.0029,0.3317,0.0768,0.0874,0.0107
frame_0415,0.2946,0.1895,0.0025,0.3364,0.0774,0.0897,0.0099
frame_0416,0.2949,0.1764,0.0028,0.3406,0.0774,0.0768,0.0309
frame_0417,0.3013,0.1864,0.0029,0.3420,0.0780,0.0863,0.0030
frame_0418,0.2974,0.1871,0.0027,0.3406,0.0773,0.0903,0.0045
frame_0419,0.2962,0.1849,0.0027,0.3424,0.0771,0.0921,0.0046
frame_0420,0.2944,0.1802,0.0035,0.3439,0.0768,0.0927,0.0084
frame_0421,0.2850,0.1880,0.0024,0.3419,0.0762,0.1026,0.0039
frame_0422,0.2883,0.1889,0.0028,0.3370,0.0783,0.0989,0.0056
frame_0423,0.2804,0.1900,0.0022,0.3381,0.0780,0.0945,0.0168
frame_0424,0.2744,0.1820,0.0025,0.3382,0.0791,0.1127,0.0110
frame_0425,0.1671,0.2852,0.0027,0.3347,0.0815,0.1157,0.0131
frame_0426,0.2634,0.1871,0.0023,0.3367,0.0824,0.1236,0.0046
frame_0427,0.2601,0.1830,0.0016,0.3320,0.0850,0.1300,0.0083
frame_0428,0.2547,0.1905,0.0021,0.3345,0.0859,0.1232,0.0091
frame_0429,0.2492,0.1974,0.0025,0.3304,0.0878,0.1309,0.0018
frame_0430,0.2578,0.1861,0.0028,0.3290,0.0913,0.1210,0.0120
frame_0431,0.2293,0.1824,0.0034,0.3346,0.0936,0.1398,0.0169
frame_0432,0.2296,0.1675,0.0057,0.3290,0.0981,0.1461,0.0240
frame_0433,0.2241,0.1614,0.0041,0.3345,0.1010,0.1511,0.0237
frame_0434,0.2051,0.1706,0.0038,0.3401,0.1038,0.1491,0.0273
frame_0435,0.1705,0.1680,0.0047,0.3477,0.1073,0.1695,0.0324
frame_0436,0.1869,0.1622,0.0046,0.3608,0.1132,0.1555,0.0168
frame_0437,0.2052,0.1519,0.0050,0.3446,0.1220,0.1349,0.0364
frame_0438,0.2206,0.1518,0.0040,0.3385,0.1268,0.1309,0.0274
frame_0439,0.2211,0.1532,0.0069,0.3246,0.1369,0.1352,0.0220
frame_0440,0.2150,0.1443,0.0051,0.3207,0.1480,0.1355,0.0314
frame_0441,0.2232,0.1478,0.0062,0.3030,0.1596,0.1346,0.0257
frame_0442,0.2338,0.1464,0.0066,0.2810,0.1724,0.1332,0.0265
frame_0443,0.2462,0.1484,0.0057,0.2611,0.1816,0.1397,0.0173
frame_0444,0.2452,0.1519,0.0065,0.2462,0.1890,0.1437,0.0174
frame_0445,0.2488,0.1444,0.0058,0.2357,0.1971,0.1416,0.0266
frame_0446,0.2581,0.1437,0.0062,0.2314,0.2029,0.1330,0.0247
frame_0447,0.2625,0.1506,0.0057,0.2251,0.2092,0.1369,0.0101
frame_0448,0.2728,0.1548,0.0082,0.2124,0.2148,0.1235,0.0136
frame_0449,0.2746,0.1589,0.0094,0.2041,0.2221,0.1191,0.0119
frame_0450,0.2761,0.1666,0.0091,0.2011,0.2277,0.1150,0.0044
frame_0451,0.2801,0.1642,0.0090,0.1938,0.2331,0.1108,0.0090
frame_0452,0.2814,0.1679,0.0116,0.1893,0.2372,0.1044,0.0082
frame_0453,0.2683,0.1651,0.0142,0.1853,0.2411,0.1058,0.0201
frame_0454,0.2569,0.1774,0.0123,0.1852,0.2440,0.1092,0.0151
frame_0455,0.2505,0.1737,0.0149,0.1829,0.2463,0.1073,0.0244
frame_0456,0.2600,0.1688,0.0198,0.1799,0.2511,0.1008,0.0195
frame_0457,0.2457,0.1650,0.0151,0.1846,0.2520,0.1023,0.0354
frame_0458,0.2441,0.1746,0.0127,0.1825,0.2538,0.0964,0.0360
frame_0459,0.2370,0.1838,0.0163,0.1785,0.2550,0.0948,0.0347
frame_0460,0.2396,0.2007,0.0180,0.1623,0.2567,0.1009,0.0218
frame_0461,0.2264,0.1954,0.0166,0.1588,0.2583,0.1055,0.0389
frame_0462,0.2208,0.2027,0.0152,0.1528,0.2692,0.1161,0.0232
frame_0463,0.2340,0.2027,0.0193,0.1484,0.2691,0.1009,0.0256
frame_0464,0.2170,0.1984,0.0198,0.1407,0.2763,0.1145,0.0333
frame_0465,0.2079,0.2256,0.0217,0.1269,0.2754,0.1258,0.0167
frame_0466,0.2255,0.2225,0.0232,0.1156,0.2791,0.1161,0.0180
frame_0467,0.2310,0.2203,0.0212,0.1100,0.2792,0.1149,0.0235
frame_0468,0.2416,0.2237,0.0201,0.1026,0.2825,0.1222,0.0073
frame_0469,0.2528,0.2215,0.0176,0.1044,0.2810,0.1183,0.0044
frame_0470,0.2509,0.2287,0.0159,0.1021,0.2817,0.1129,0.0078
frame_0471,0.2595,0.2210,0.0136,0.1029,0.2778,0.1200,0.0052
frame_0472,0.2506,0.2179,0.0144,0.1025,0.2814,0.1262,0.0069
frame_0473,0.2479,0.2256,0.0122,0.1071,0.2782,0.1037,0.0253
frame_0474,0.2464,0.2380,0.0131,0.1060,0.2730,0.1090,0.0145
frame_0475,0.2389,0.2377,0.0118,0.1079,0.2721,0.1164,0.0153
frame_0476,0.2037,0.2462,0.0157,0.1113,0.2690,0.1422,0.0118
frame_0477,0.2152,0.2219,0.0122,0.1176,0.2653,0.1347,0.0331
frame_0478,0.1959,0.2360,0.0095,0.1224,0.2608,0.1390,0.0363
frame_0479,0.2264,0.2235,0.0081,0.1278,0.2557,0.1226,0.0359
frame_0480,0.1123,0.3057,0.0082,0.1315,0.2514,0.1348,0.0560
frame_0481,0.2154,0.1830,0.0073,0.1381,0.2449,0.1340,0.0772
frame_0482,0.2074,0.2281,0.0066,0.1451,0.2393,0.1322,0.0414
frame_0483,0.1860,0.2553,0.0057,0.1512,0.2328,0.1502,0.0188
frame_0484,0.1784,0.2697,0.0051,0.1560,0.2255,0.1403,0.0250
frame_0485,0.0992,0.3320,0.0032,0.1652,0.2186,0.1435,0.0383
frame_0486,0.1987,0.2622,0.0043,0.1687,0.2132,0.1500,0.0029
frame_0487,0.1819,0.2760,0.0038,0.1777,0.2065,0.1348,0.0193
frame_0488,0.1258,0.3291,0.0046,0.1845,0.1988,0.1438,0.0134
frame_0489,0.1464,0.2835,0.0078,0.1958,0.1903,0.1504,0.0259
frame_0490,0.0987,0.3299,0.0053,0.2071,0.1815,0.1506,0.0268
frame_0491,0.1336,0.3123,0.0068,0.2190,0.1715,0.1369,0.0201
frame_0492,0.1995,0.2263,0.0113,0.2344,0.1598,0.1414,0.0272
frame_0493,0.1018,0.3443,0.0032,0.2468,0.1501,0.1328,0.0210
frame_0494,0.1184,0.3299,0.0060,0.2641,0.1362,0.1203,0.0250
frame_0495,0.1106,0.3253,0.0094,0.2887,0.1206,0.1199,0.0254
frame_0496,0.1182,0.3160,0.0095,0.2929,0.1114,0.1183,0.0337
frame_0497,0.1301,0.2919,0.0036,0.3031,0.1027,0.1348,0.0337
frame_0498,0.1371,0.3260,0.0069,0.3089,0.0956,0.1162,0.0093
frame_0499,0.2252,0.2230,0.0035,0.3120,0.0912,0.1147,0.0302
frame_0500,0.2301,0.2340,0.0082,0.3168,0.0867,0.1057,0.0185
frame_0501,0.2389,0.2415,0.0024,0.3178,0.0816,0.0930,0.0248
frame_0502,0.2315,0.2496,0.0115,0.3210,0.0798,0.0967,0.0097
frame_0503,0.2363,0.2610,0.0037,0.3249,0.0765,0.0854,0.0122
frame_0504,0.2420,0.2566,0.0023,0.3342,0.0737,0.0836,0.0074
frame_0505,0.2399,0.2443,0.0022,0.3383,0.0763,0.0886,0.0104
frame_0506,0.2446,0.2345,0.0025,0.3387,0.0737,0.0900,0.0160
frame_0507,0.2510,0.2360,0.0017,0.3445,0.0710,0.0884,0.0074
frame_0508,0.2491,0.2339,0.0018,0.3462,0.0700,0.0886,0.0103
frame_0509,0.2546,0.2271,0.0019,0.3487,0.0700,0.0915,0.0062
frame_0510,0.2522,0.2320,0.0019,0.3521,0.0671,0.0828,0.0120
frame_0511,0.1714,0.3022,0.0022,0.3535,0.0652,0.0895,0.0161
frame_0512,0.1691,0.2960,0.0014,0.3594,0.0622,0.0933,0.0186
frame_0513,0.1636,0.3089,0.0019,0.3609,0.0604,0.0922,0.0121
frame_0514,0.1617,0.3121,0.0024,0.3649,0.0572,0.0912,0.0105
frame_0515,0.1610,0.3124,0.0018,0.3637,0.0551,0.0920,0.0141
frame_0516,0.1750,0.3027,0.0011,0.3697,0.0509,0.0883,0.0124
frame_0517,0.1475,0.3308,0.0019,0.3725,0.0497,0.0862,0.0115
frame_0518,0.2414,0.2240,0.0055,0.3660,0.0465,0.1055,0.0110
frame_0519,0.2386,0.2207,0.0035,0.3646,0.0450,0.1084,0.0192
frame_0520,0.2405,0.2101,0.0032,0.3722,0.0405,0.1111,0.0226
frame_0521,0.2271,0.2253,0.0012,0.3737,0.0381,0.1142,0.0204
frame_0522,0.2213,0.2335,0.0043,0.3673,0.0414,0.1168,0.0155
frame_0523,0.2032,0.2390,0.0044,0.3706,0.0407,0.1179,0.0243
frame_0524,0.1854,0.2625,0.0014,0.3745,0.0398,0.1088,0.0276
frame_0525,0.2074,0.2336,0.0042,0.3735,0.0383,0.1327,0.0102
frame_0526,0.2077,0.2321,0.0016,0.3801,0.0361,0.1220,0.0203
frame_0527,0.2042,0.2274,0.0009,0.3837,0.0330,0.1248,0.0260
frame_0528,0.1987,0.2247,0.0027,0.3905,0.0313,0.1239,0.0281
frame_0529,0.1170,0.2911,0.0016,0.3944,0.0296,0.1460,0.0202
frame_0530,0.1316,0.2896,0.0019,0.4011,0.0256,0.1239,0.0262
frame_0531,0.2052,0.2160,0.0029,0.4046,0.0208,0.1374,0.0132
frame_0532,0.1244,0.3023,0.0030,0.4124,0.0177,0.1247,0.0155
frame_0533,0.1458,0.2834,0.0013,0.4150,0.0147,0.1294,0.0105
frame_0534,0.1984,0.2040,0.0014,0.4208,0.0134,0.1305,0.0315
frame_0535,0.1564,0.2728,0.0020,0.4177,0.0125,0.1158,0.0229
frame_0536,0.2100,0.2092,0.0020,0.4209,0.0110,0.1331,0.0139
frame_0537,0.2061,0.1899,0.0012,0.4257,0.0105,0.1288,0.0379
frame_0538,0.1638,0.2759,0.0018,0.4283,0.0098,0.1119,0.0086
frame_0539,0.1858,0.2311,0.0021,0.4264,0.0110,0.1129,0.0307
frame_0540,0.1964,0.2098,0.0018,0.4270,0.0102,0.1251,0.0297
frame_0541,0.2008,0.2017,0.0072,0.4261,0.0101,0.1219,0.0322
frame_0542,0.1549,0.2575,0.0023,0.4288,0.0092,0.0888,0.0585
frame_0543,0.1445,0.2803,0.0082,0.4281,0.0089,0.1011,0.0289
frame_0544,0.1468,0.2714,0.0079,0.4278,0.0066,0.1149,0.0246
frame_0545,0.1419,0.2576,0.0040,0.4426,0.0061,0.1173,0.0305
frame_0546,0.2394,0.1696,0.0087,0.4468,0.0061,0.1171,0.0122
frame_0547,0.1690,0.2340,0.0083,0.4484,0.0099,0.1085,0.0218
frame_0548,0.1472,0.2456,0.0107,0.4487,0.0093,0.1108,0.0278
frame_0549,0.2216,0.1651,0.0086,0.4483,0.0145,0.1274,0.0146
frame_0550,0.1761,0.2324,0.0038,0.4470,0.0146,0.1031,0.0231
frame_0551,0.1809,0.2289,0.0052,0.4413,0.0117,0.0947,0.0373
frame_0552,0.1869,0.2328,0.0069,0.4428,0.0121,0.0863,0.0322
frame_0553,0.1764,0.2669,0.0066,0.4368,0.0113,0.0809,0.0211
frame_0554,0.1977,0.2525,0.0069,0.4341,0.0114,0.0790,0.0184
frame_0555,0.2837,0.1605,0.0092,0.4340,0.0130,0.0779,0.0217
frame_0556,0.2054,0.2349,0.0056,0.4327,0.0130,0.0758,0.0326
frame_0557,0.2008,0.2446,0.0048,0.4325,0.0132,0.0833,0.0208
frame_0558,0.2871,0.1639,0.0036,0.4402,0.0131,0.0789,0.0132
frame_0559,0.2872,0.1513,0.0098,0.4444,0.0124,0.0767,0.0183
frame_0560,0.2894,0.1678,0.0054,0.4425,0.0116,0.0761,0.0072
frame_0561,0.2907,0.1673,0.0058,0.4470,0.0113,0.0728,0.0051
frame_0562,0.2868,0.1740,0.0035,0.4443,0.0115,0.0748,0.0051
frame_0563,0.2896,0.1437,0.0071,0.4444,0.0105,0.0671,0.0377
frame_0564,0.2692,0.1899,0.0065,0.4435,0.0111,0.0752,0.0047
frame_0565,0.2731,0.1837,0.0042,0.4379,0.0099,0.0727,0.0185
frame_0566,0.2682,0.1990,0.0097,0.4330,0.0097,0.0726,0.0078
frame_0567,0.2585,0.1938,0.0060,0.4221,0.0086,0.0795,0.0316
frame_0568,0.2530,0.2215,0.0055,0.4127,0.0065,0.0809,0.0200
frame_0569,0.2535,0.2295,0.0082,0.4059,0.0062,0.0841,0.0126
frame_0570,0.1948,0.2907,0.0094,0.4104,0.0062,0.0813,0.0072
frame_0571,0.1605,0.3175,0.0084,0.4229,0.0061,0.0814,0.0031
frame_0572,0.2607,0.2159,0.0128,0.4218,0.0065,0.0788,0.0034
frame_0573,0.2448,0.2242,0.0058,0.4357,0.0061,0.0826,0.0009
frame_0574,0.1330,0.3428,0.0083,0.4278,0.0055,0.0713,0.0114
frame_0575,0.1435,0.2638,0.0015,0.4368,0.0060,0.0673,0.0811
frame_0576,0.2671,0.2140,0.0027,0.4412,0.0065,0.0638,0.0047
frame_0577,0.2658,0.1332,0.0034,0.4441,0.0049,0.0601,0.0885
frame_0578,0.2692,0.1524,0.0020,0.4447,0.0031,0.0570,0.0717
frame_0579,0.2600,0.1412,0.0008,0.4268,0.0021,0.0647,0.1044
frame_0580,0.1209,0.2635,0.0052,0.4209,0.0014,0.0628,0.1253
frame_0581,0.2480,0.2171,0.0054,0.4193,0.0019,0.0886,0.0197
frame_0582,0.2524,0.2362,0.0069,0.4177,0.0038,0.0585,0.0244
frame_0583,0.2589,0.1587,0.0057,0.4193,0.0051,0.0575,0.0949
frame_0584,0.2625,0.2071,0.0038,0.4154,0.0072,0.0642,0.0398
frame_0585,0.2632,0.1603,0.0053,0.4164,0.0078,0.0629,0.0841
frame_0586,0.1748,0.3103,0.0015,0.4131,0.0091,0.0652,0.0261
frame_0587,0.1508,0.3321,0.0033,0.4056,0.0140,0.0601,0.0340
frame_0588,0.1822,0.3034,0.0022,0.3985,0.0128,0.0689,0.0321
frame_0589,0.2653,0.2420,0.0039,0.3951,0.0119,0.0707,0.0112
frame_0590,0.1336,0.3990,0.0011,0.3898,0.0057,0.0633,0.0075
frame_0591,0.1953,0.2878,0.0009,0.3927,0.0100,0.0755,0.0379
frame_0592,0.2480,0.2613,0.0015,0.3874,0.0097,0.0714,0.0208
frame_0593,0.2516,0.2652,0.0038,0.3805,0.0120,0.0663,0.0205
frame_0594,0.2465,0.2674,0.0052,0.3760,0.0104,0.0654,0.0291
frame_0595,0.2427,0.2996,0.0014,0.3733,0.0096,0.0662,0.0072
frame_0596,0.2460,0.2815,0.0002,0.3819,0.0093,0.0666,0.0146
frame_0597,0.2453,0.2753,0.0004,0.3807,0.0110,0.0629,0.0244
frame_0598,0.1820,0.3258,0.0005,0.3856,0.0109,0.0656,0.0296
frame_0599,0.2172,0.2472,0.0022,0.3884,0.0105,0.0730,0.0615
frame_0600,0.2338,0.2856,0.0007,0.3882,0.0102,0.0661,0.0154
frame_0601,0.1916,0.3053,0.0003,0.3959,0.0118,0.0601,0.0350
frame_0602,0.2447,0.2550,0.0009,0.3950,0.0129,0.0700,0.0216
frame_0603,0.2261,0.2613,0.0007,0.3964,0.0135,0.0700,0.0321
frame_0604,0.1252,0.3758,0.0056,0.3919,0.0144,0.0667,0.0204
frame_0605,0.2403,0.2590,0.0066,0.3918,0.0162,0.0820,0.0042
frame_0606,0.2323,0.2447,0.0068,0.3974,0.0178,0.1003,0.0008
frame_0607,0.2457,0.2339,0.0045,0.4037,0.0191,0.0922,0.0009
frame_0608,0.2613,0.2239,0.0036,0.4005,0.0211,0.0849,0.0048
frame_0609,0.2585,0.2258,0.0038,0.4036,0.0214,0.0853,0.0016
frame_0610,0.2482,0.2244,0.0024,0.4006,0.0215,0.0956,0.0073
frame_0611,0.2489,0.2094,0.0014,0.4018,0.0228,0.0991,0.0167
frame_0612,0.2628,0.2129,0.0032,0.3995,0.0225,0.0773,0.0217
frame_0613,0.2627,0.2162,0.0017,0.4021,0.0252,0.0885,0.0037
frame_0614,0.2653,0.2105,0.0018,0.4035,0.0259,0.0810,0.0120
frame_0615,0.2574,0.2182,0.0016,0.4061,0.0259,0.0871,0.0037
frame_0616,0.2596,0.2096,0.0029,0.4001,0.0301,0.0891,0.0086
frame_0617,0.2452,0.2172,0.0029,0.3962,0.0291,0.0822,0.0272
frame_0618,0.2349,0.2082,0.0032,0.3963,0.0301,0.1057,0.0215
frame_0619,0.1549,0.2848,0.0030,0.3960,0.0319,0.0965,0.0330
frame_0620,0.2411,0.1847,0.0028,0.3897,0.0337,0.1151,0.0329
frame_0621,0.2369,0.1868,0.0023,0.3890,0.0364,0.1223,0.0263
frame_0622,0.2326,0.1866,0.0023,0.3841,0.0387,0.1187,0.0370
frame_0623,0.2250,0.1866,0.0024,0.3819,0.0403,0.1158,0.0480
frame_0624,0.1847,0.2314,0.0020,0.3756,0.0426,0.1298,0.0340
frame_0625,0.1706,0.2367,0.0022,0.3709,0.0440,0.1402,0.0354
frame_0626,0.1281,0.2758,0.0023,0.3678,0.0455,0.1523,0.0281
frame_0627,0.1724,0.2240,0.0027,0.3687,0.0471,0.1535,0.0315
frame_0628,0.1299,0.2649,0.0023,0.3632,0.0485,0.1445,0.0467
frame_0629,0.2041,0.1905,0.0022,0.3655,0.0498,0.1457,0.0421
frame_0630,0.1175,0.3158,0.0019,0.3576,0.0496,0.1512,0.0065
frame_0631,0.1920,0.2326,0.0021,0.3620,0.0494,0.1538,0.0081
frame_0632,0.2187,0.1906,0.0028,0.3571,0.0500,0.1484,0.0324
frame_0633,0.1178,0.2849,0.0030,0.3559,0.0514,0.1508,0.0362
frame_0634,0.2296,0.1967,0.0030,0.3583,0.0517,0.1427,0.0179
frame_0635,0.2379,0.1999,0.0034,0.3532,0.0530,0.1334,0.0192
frame_0636,0.2346,0.1748,0.0047,0.3578,0.0538,0.1204,0.0538
frame_0637,0.2329,0.1846,0.0033,0.3568,0.0574,0.1268,0.0381
frame_0638,0.2502,0.1832,0.0080,0.3554,0.0626,0.1090,0.0316
frame_0639,0.2584,0.1882,0.0081,0.3534,0.0672,0.1067,0.0180
frame_0640,0.2530,0.1759,0.0095,0.3454,0.0716,0.1090,0.0356
frame_0641,0.2655,0.1627,0.0088,0.3497,0.0750,0.0951,0.0433
frame_0642,0.2581,0.1919,0.0114,0.3443,0.0808,0.0933,0.0202
frame_0643,0.2501,0.1850,0.0172,0.3528,0.0855,0.0931,0.0162
frame_0644,0.2480,0.1556,0.0098,0.3633,0.0913,0.0989,0.0332
frame_0645,0.2420,0.1695,0.0070,0.3687,0.0958,0.0919,0.0251
frame_0646,0.2487,0.1490,0.0052,0.3597,0.1009,0.0874,0.0491
frame_0647,0.2470,0.1353,0.0084,0.3495,0.1060,0.1048,0.0488
frame_0648,0.2647,0.1374,0.0094,0.3463,0.1110,0.0830,0.0483
frame_0649,0.2732,0.1540,0.0087,0.3312,0.1170,0.0892,0.0268
frame_0650,0.2735,0.1645,0.0084,0.3222,0.1223,0.0886,0.0206
frame_0651,0.2758,0.1681,0.0090,0.3085,0.1280,0.0827,0.0278
frame_0652,0.2845,0.1729,0.0109,0.2976,0.1341,0.0870,0.0129
frame_0653,0.2838,0.1803,0.0104,0.2865,0.1399,0.0743,0.0248
frame_0654,0.2933,0.1734,0.0119,0.2780,0.1464,0.0729,0.0241
frame_0655,0.3050,0.1767,0.0148,0.2670,0.1542,0.0741,0.0083
frame_0656,0.2980,0.1816,0.0142,0.2600,0.1622,0.0728,0.0112
frame_0657,0.2915,0.1837,0.0142,0.2497,0.1690,0.0791,0.0127
frame_0658,0.2856,0.1932,0.0171,0.2404,0.1768,0.0701,0.0168
frame_0659,0.2042,0.2802,0.0158,0.2306,0.1840,0.0718,0.0134
frame_0660,0.1916,0.2995,0.0106,0.2215,0.1890,0.0696,0.0181
frame_0661,0.1610,0.3318,0.0092,0.2164,0.1946,0.0693,0.0178
frame_0662,0.1874,0.3205,0.0097,0.2047,0.1987,0.0666,0.0123
frame_0663,0.1889,0.3136,0.0068,0.1944,0.2039,0.0721,0.0204
frame_0664,0.1621,0.3597,0.0045,0.1879,0.2070,0.0675,0.0113
frame_0665,0.1860,0.3393,0.0043,0.1776,0.2086,0.0717,0.0125
frame_0666,0.2182,0.3083,0.0029,0.1821,0.2114,0.0592,0.0179
frame_0667,0.2105,0.3235,0.0026,0.1742,0.2136,0.0500,0.0256
frame_0668,0.2125,0.3262,0.0023,0.1747,0.2164,0.0654,0.0026
frame_0669,0.1970,0.3457,0.0025,0.1705,0.2207,0.0614,0.0022
frame_0670,0.1676,0.3794,0.0067,0.1571,0.2223,0.0604,0.0064
frame_0671,0.2052,0.3400,0.0090,0.1500,0.2245,0.0668,0.0046
frame_0672,0.1800,0.3710,0.0039,0.1442,0.2294,0.0671,0.0044
frame_0673,0.2138,0.3483,0.0024,0.1355,0.2293,0.0658,0.0048
frame_0674,0.2189,0.3400,0.0014,0.1335,0.2320,0.0710,0.0031
frame_0675,0.2243,0.3355,0.0034,0.1259,0.2359,0.0706,0.0043
frame_0676,0.1631,0.3996,0.0013,0.1277,0.2392,0.0612,0.0079
