Frame,GreenViewIndex
frame_0289,0.3625
frame_0290,0.3534
frame_0291,0.3415
frame_0292,0.3363
frame_0293,0.3307
frame_0294,0.3256
frame_0295,0.3176
frame_0296,0.3086
frame_0297,0.3091
frame_0298,0.3006
frame_0299,0.2928
frame_0300,0.2931
frame_0301,0.2746
frame_0302,0.2718
frame_0303,0.2681
frame_0304,0.2641
frame_0305,0.2640
frame_0306,0.2682
frame_0307,0.2673
frame_0308,0.2574
frame_0309,0.2571
frame_0310,0.2532
frame_0311,0.2524
frame_0312,0.2477
frame_0313,0.2430
frame_0314,0.2385
frame_0315,0.2329
frame_0316,0.2284
frame_0317,0.2296
frame_0318,0.2215
frame_0319,0.2175
frame_0320,0.2133
frame_0321,0.1958
frame_0322,0.1953
frame_0323,0.1869
frame_0324,0.1787
frame_0325,0.1705
frame_0326,0.1662
frame_0327,0.1625
frame_0328,0.1528
frame_0329,0.1458
frame_0330,0.1392
frame_0331,0.1335
frame_0332,0.1273
frame_0333,0.1151
frame_0334,0.1135
frame_0335,0.1098
frame_0336,0.1056
frame_0337,0.1013
frame_0338,0.0971
frame_0339,0.0936
frame_0340,0.0906
frame_0341,0.0866
frame_0342,0.0802
frame_0343,0.0761
frame_0344,0.0704
frame_0345,0.0652
frame_0346,0.0610
frame_0347,0.0574
frame_0348,0.0549
frame_0349,0.0513
frame_0350,0.0510
frame_0351,0.0503
frame_0352,0.0483
frame_0353,0.0473
frame_0354,0.0453
frame_0355,0.0438
frame_0356,0.0423
frame_0357,0.0437
frame_0358,0.0442
frame_0359,0.0444
frame_0360,0.0444
frame_0361,0.0441
frame_0362,0.0452
frame_0363,0.0468
frame_0364,0.0472
frame_0365,0.0486
frame_0366,0.0512
frame_0367,0.0539
frame_0368,0.0558
frame_0369,0.0569
frame_0370,0.0592
frame_0371,0.0618
frame_0372,0.0644
frame_0373,0.0694
frame_0374,0.0725
frame_0375,0.0769
frame_0376,0.0828
frame_0377,0.0866
frame_0378,0.0934
frame_0379,0.0986
frame_0380,0.1076
frame_0381,0.1164
frame_0382,0.1225
frame_0383,0.1317
frame_0384,0.1381
frame_0385,0.1492
frame_0386,0.1592
frame_0387,0.1670
frame_0388,0.1777
frame_0389,0.1881
frame_0390,0.1972
frame_0391,0.2081
frame_0392,0.2150
frame_0393,0.2319
frame_0394,0.2469
frame_0395,0.2624
frame_0396,0.2770
frame_0397,0.2876
frame_0398,0.2981
frame_0399,0.3066
frame_0400,0.3122
frame_0401,0.3195
frame_0402,0.3195
frame_0403,0.3253
frame_0404,0.3258
frame_0405,0.3235
frame_0406,0.3239
frame_0407,0.3216
frame_0408,0.3286
frame_0409,0.3244
frame_0410,0.3255
frame_0411,0.3307
frame_0412,0.3296
frame_0413,0.3317
frame_0414,0.3317
frame_0415,0.3364
frame_0416,0.3406
frame_0417,0.3420
frame_0418,0.3406
frame_0419,0.3424
frame_0420,0.3439
frame_0421,0.3419
frame_0422,0.3370
frame_0423,0.3381
frame_0424,0.3382
frame_0425,0.3347
frame_0426,0.3367
frame_0427,0.3320
frame_0428,0.3345
frame_0429,0.3304
frame_0430,0.3290
frame_0431,0.3346
frame_0432,0.3290
frame_0433,0.3345
frame_0434,0.3401
frame_0435,0.3477
frame_0436,0.3608
frame_0437,0.3446
frame_0438,0.3385
frame_0439,0.3246
frame_0440,0.3207
frame_0441,0.3030
frame_0442,0.2810
frame_0443,0.2611
frame_0444,0.2462
frame_0445,0.2357
frame_0446,0.2314
frame_0447,0.2251
frame_0448,0.2124
frame_0449,0.2041
frame_0450,0.2011
frame_0451,0.1938
frame_0452,0.1893
frame_0453,0.1853
