音频事件,置信度,占比(%)
Speech,0.6607,85.87%
Animal,0.0226,2.93%
"Inside, public space",0.0202,2.62%
Music,0.0169,2.20%
"Inside, large room or hall",0.0138,1.79%
"Outside, urban or manmade",0.0129,1.67%
Vehicle,0.0119,1.54%
Wild animals,0.0105,1.36%
